Kode,Day,Berat_Tanaman,Intensitas_Matahari,Tinggi_Tanaman,Luas_Permukaan_Wadah
A1,day 05,2.1819375,78100.0,25,156.25
A2,day 05,3.0395624999999997,78100.0,40,156.25
A3,day 05,3.9159375,78100.0,45,156.25
A4,day 05,3.2645625000000003,78100.0,60,156.25
B1,day 05,3.5905625,78100.0,25,225.0
B2,day 05,5.1951875,78100.0,40,225.0
B3,day 05,4.1759375,78100.0,45,225.0
B4,day 05,4.0671875,78100.0,60,225.0
C1,day 05,6.4651875,78100.0,25,306.25
C2,day 05,7.2101875,78100.0,40,306.25
C3,day 05,8.9463125,78100.0,45,306.25
C4,day 05,8.8285625,78100.0,60,306.25
D1,day 05,9.34175,78100.0,25,400.0
D2,day 05,11.400125,78100.0,40,400.0
D3,day 05,11.17025,78100.0,45,400.0
D4,day 05,10.6551875,78100.0,60,400.0
E1,day 05,13.786125,78100.0,25,506.25
E2,day 05,16.261625,78100.0,40,506.25
E3,day 05,15.286625,78100.0,45,506.25
E4,day 05,14.3255,78100.0,60,506.25
F1,day 05,17.0366875,78100.0,25,625.0
F2,day 05,20.20425,78100.0,40,625.0
F3,day 05,19.4504375,78100.0,45,625.0
F4,day 05,20.498250000000002,78100.0,60,625.0
A1,day 06,2.638,68837.5,25,156.25
A2,day 06,3.283625,68837.5,40,156.25
A3,day 06,4.04625,68837.5,45,156.25
A4,day 06,3.675625,68837.5,60,156.25
B1,day 06,4.2405,68837.5,25,225.0
B2,day 06,5.656750000000001,68837.5,40,225.0
B3,day 06,4.72625,68837.5,45,225.0
B4,day 06,4.798500000000001,68837.5,60,225.0
C1,day 06,7.470000000000001,68837.5,25,306.25
C2,day 06,7.682375,68837.5,40,306.25
C3,day 06,9.116375000000001,68837.5,45,306.25
C4,day 06,8.800625,68837.5,60,306.25
D1,day 06,9.874625,68837.5,25,400.0
D2,day 06,11.4115,68837.5,40,400.0
D3,day 06,11.458,68837.5,45,400.0
D4,day 06,10.846125,68837.5,60,400.0
E1,day 06,14.425,68837.5,25,506.25
