Day,Tanggal,Mean Suhu Udara,ET Total
day 1,2024-10-22,30.015,5.887863
day 2,2024-10-23,30.948750000000004,6.003834750000001
day 3,2024-10-24,31.14,6.027588000000001
day 4,2024-10-25,30.80625,5.986136250000001
day 5,2024-10-26,30.9075,5.998711500000001
day 6,2024-10-27,31.778750000000002,6.106920750000001
day 7,2024-10-28,32.629999999999995,6.212646
day 8,2024-10-29,32.222500000000004,6.162034500000001
day 9,2024-10-30,31.171249999999997,6.03146925
day 10,2024-10-31,29.55625,5.83088625
day 11,2024-11-01,27.7175,5.602513500000001
day 12,2024-11-02,28.515,5.701563000000001
day 13,2024-11-03,29.65,5.84253
day 14,2024-11-04,30.0,5.886000000000001
day 15,2024-11-05,31.2475,6.0409395
day 16,2024-11-06,32.09125,6.14573325
day 17,2024-11-07,32.056250000000006,6.141386250000002
day 18,2024-11-08,30.668750000000003,5.969058750000001
day 19,2024-11-09,29.28625,5.797352249999999
day 20,2024-11-10,29.11375,5.77592775
