Num Day,Tanggal,Max Suhu Udara,Min Suhu Udara,Mean Suhu Udara,Mean Kecepatan Angin,Mean Kelembapan Relatif,Radiasi Extrateresterial,ET Total
day 05,2024-10-26,33.07,25.59,29.33,3.8,48.8675,15.79228319116646,4.704161893193518
day 06,2024-10-27,34.18,25.99,30.085,2.7487500000000002,45.59375,15.79866133781571,4.476762150423639
day 07,2024-10-28,35.19,26.08,30.634999999999998,2.78875,42.5475,15.804506795652468,4.893067957030755
day 08,2024-10-29,34.46,26.55,30.505000000000003,3.95125,44.36125,15.809836433061825,5.337096127780793
day 09,2024-10-30,32.96,26.74,29.85,4.0225,50.6175,15.81466748940714,4.590299069022251
day 10,2024-10-31,30.95,25.83,28.39,2.4225,57.59625,15.81901754517555,3.1159997827572226
day 12,2024-11-02,30.12,25.39,27.755000000000003,1.90875,61.29,15.826346501025428,2.545929146773693
day 13,2024-11-03,31.18,26.12,28.65,2.93375,56.69375,15.829361994407888,3.471651269609415
day 14,2024-11-04,31.52,26.01,28.765,2.6025,53.6625,15.831969612092555,3.522580935113465
day 15,2024-11-05,33.42,26.33,29.875,3.6862500000000002,47.1475,15.834188181820073,4.753486472670819
